model,dataset,seed,task_type,num_tasks,num_molecules,train_size,val_size,test_size,metric_name,test_metric,val_loss,val_roc_auc,val_valid_tasks,test_loss,test_roc_auc,test_valid_tasks,val_rmse,test_rmse
GCN-CfC,ESOL,17,regression,1,1128,902,113,113,RMSE,0.70734069965127,0.13023169338703156,,,0.1165613979101181,,,0.7476694135792591,0.70734069965127
GCN-CfC,ESOL,37,regression,1,1128,902,113,113,RMSE,0.8430080330421835,0.1543186455965042,,,0.16556210815906525,,,0.8138801883092137,0.8430080330421835
GCN,ESOL,7,regression,1,1128,902,113,113,RMSE,0.8515875226465359,0.14479348063468933,,,0.168949156999588,,,0.7883621355794164,0.8515875226465359
GCN,ESOL,17,regression,1,1128,902,113,113,RMSE,1.0340376081839844,0.15920715034008026,,,0.24909791350364685,,,0.8266707553172776,1.0340376081839844
GCN,ESOL,37,regression,1,1128,902,113,113,RMSE,0.9172544581652451,0.15387089550495148,,,0.19600948691368103,,,0.8126985967451025,0.9172544581652451
GIN,ESOL,7,regression,1,1128,902,113,113,RMSE,0.8180851442728175,0.15668155252933502,,,0.15591734647750854,,,0.8200875836793838,0.8180851442728175
GIN,ESOL,17,regression,1,1128,902,113,113,RMSE,0.8412679262787809,0.13862283527851105,,,0.16487930715084076,,,0.7713805696208773,0.8412679262787809
GIN,ESOL,37,regression,1,1128,902,113,113,RMSE,0.8750007833749807,0.15142495930194855,,,0.17836692929267883,,,0.8062133765958875,0.8750007833749807
GAT,ESOL,7,regression,1,1128,902,113,113,RMSE,0.8221577553205888,0.16163361072540283,,,0.1574735790491104,,,0.832946524651814,0.8221577553205888
GAT,ESOL,17,regression,1,1128,902,113,113,RMSE,0.9354035142230204,0.15256530046463013,,,0.20384280383586884,,,0.8092433881351067,0.9354035142230204
GAT,ESOL,37,regression,1,1128,902,113,113,RMSE,0.7537714387998383,0.1468161791563034,,,0.1323661059141159,,,0.7938495873882819,0.7537714387998383
GraphSAGE,ESOL,7,regression,1,1128,902,113,113,RMSE,0.8546077977036984,0.15170925855636597,,,0.17014963924884796,,,0.80696982254272,0.8546077977036984
GraphSAGE,ESOL,17,regression,1,1128,902,113,113,RMSE,1.2212769647313566,0.16264910995960236,,,0.3474768102169037,,,0.8355590462745579,1.2212769647313566
GraphSAGE,ESOL,37,regression,1,1128,902,113,113,RMSE,1.0191892437579881,0.18040162324905396,,,0.2419954091310501,,,0.879977374652964,1.0191892437579881
GCN-CfC,FreeSolv,7,regression,1,642,513,64,65,RMSE,1.8080510093405329,0.14944565296173096,,,0.22787077724933624,,,1.4642256182789473,1.8080510093405329
GCN-CfC,FreeSolv,17,regression,1,642,513,64,65,RMSE,1.891567405191411,0.14083372056484222,,,0.2494083046913147,,,1.4214109564824142,1.891567405191411
GCN-CfC,FreeSolv,37,regression,1,642,513,64,65,RMSE,1.6347653333146395,0.10735614597797394,,,0.1862850785255432,,,1.2410230156687734,1.6347653333146395
GCN,FreeSolv,7,regression,1,642,513,64,65,RMSE,2.845198712909589,0.27600523829460144,,,0.564277172088623,,,1.9898714253088978,2.845198712909589
GCN,FreeSolv,17,regression,1,642,513,64,65,RMSE,2.8620399605169218,0.21742068231105804,,,0.5709770321846008,,,1.7661060589386124,2.8620399605169218
GCN,FreeSolv,37,regression,1,642,513,64,65,RMSE,2.382564344147689,0.21468386054039001,,,0.3956913948059082,,,1.7549552923740854,2.382564344147689
GIN,FreeSolv,7,regression,1,642,513,64,65,RMSE,2.1417160038392287,0.11865511536598206,,,0.3197356164455414,,,1.304696728336796,2.1417160038392287
GIN,FreeSolv,17,regression,1,642,513,64,65,RMSE,1.627480374524086,0.14391151070594788,,,0.18462850153446198,,,1.4368589879388662,1.627480374524086
GIN,FreeSolv,37,regression,1,642,513,64,65,RMSE,1.8008739919219456,0.18142084777355194,,,0.22606532275676727,,,1.6132808066452933,1.8008739919219456
GAT,FreeSolv,7,regression,1,642,513,64,65,RMSE,2.6680467630488924,0.24128411710262299,,,0.49619704484939575,,,1.8605044484832407,2.6680467630488924
GAT,FreeSolv,17,regression,1,642,513,64,65,RMSE,2.5038832069800656,0.162335604429245,,,0.43701407313346863,,,1.5260656916926374,2.5038832069800656
GAT,FreeSolv,37,regression,1,642,513,64,65,RMSE,1.9976481676590874,0.18584632873535156,,,0.278166800737381,,,1.6328390748996189,1.9976481676590874
GraphSAGE,FreeSolv,7,regression,1,642,513,64,65,RMSE,2.035560611670451,0.2940164804458618,,,0.2888253331184387,,,2.053771652506887,2.035560611670451
GraphSAGE,FreeSolv,17,regression,1,642,513,64,65,RMSE,2.337321506151885,0.25184112787246704,,,0.3808063268661499,,,1.9007704101454101,2.337321506151885
GraphSAGE,FreeSolv,37,regression,1,642,513,64,65,RMSE,2.9062906898193215,0.1842392385005951,,,0.5887696146965027,,,1.6257637136632692,2.9062906898193215
GCN-CfC,Lipophilicity,7,regression,1,4200,3360,420,420,RMSE,0.7191861529342224,0.332998551428318,,,0.34976013004779816,,,0.717732164922027,0.7191861529342224
GCN-CfC,Lipophilicity,17,regression,1,4200,3360,420,420,RMSE,0.716954601095525,0.32438187673687935,,,0.3396848663687706,,,0.7100930281258837,0.716954601095525
GCN-CfC,Lipophilicity,37,regression,1,4200,3360,420,420,RMSE,0.7446809744218823,0.36857442557811737,,,0.3828796148300171,,,0.7443100944042611,0.7446809744218823
GCN,Lipophilicity,7,regression,1,4200,3360,420,420,RMSE,0.803745644470089,0.38374198228120804,,,0.44648873805999756,,,0.7700726303921609,0.803745644470089
GCN,Lipophilicity,17,regression,1,4200,3360,420,420,RMSE,0.810962248849,0.38968952000141144,,,0.454557329416275,,,0.777650705432345,0.810962248849
GCN,Lipophilicity,37,regression,1,4200,3360,420,420,RMSE,0.8059360484316868,0.4051077738404274,,,0.4589478373527527,,,0.7819133231378735,0.8059360484316868
GIN,Lipophilicity,7,regression,1,4200,3360,420,420,RMSE,0.739791133504074,0.36883872747421265,,,0.3756287172436714,,,0.7572082391371245,0.739791133504074
GIN,Lipophilicity,17,regression,1,4200,3360,420,420,RMSE,0.7494820952385863,0.35224495828151703,,,0.3905382454395294,,,0.7349088230152088,0.7494820952385863
GIN,Lipophilicity,37,regression,1,4200,3360,420,420,RMSE,0.762352078582498,0.37288326770067215,,,0.401030033826828,,,0.752970772301372,0.762352078582498
GAT,Lipophilicity,7,regression,1,4200,3360,420,420,RMSE,0.7919355906103053,0.4310682490468025,,,0.4418475180864334,,,0.8024622694991501,0.7919355906103053
GAT,Lipophilicity,17,regression,1,4200,3360,420,420,RMSE,0.7835031824077737,0.40869731456041336,,,0.4252805709838867,,,0.7842867007461526,0.7835031824077737
GAT,Lipophilicity,37,regression,1,4200,3360,420,420,RMSE,0.7563157785986253,0.40668022632598877,,,0.4023953601717949,,,0.7884831331634584,0.7563157785986253
GraphSAGE,Lipophilicity,7,regression,1,4200,3360,420,420,RMSE,0.7848674565691051,0.37059831246733665,,,0.4195880964398384,,,0.7629706634241251,0.7848674565691051
GraphSAGE,Lipophilicity,17,regression,1,4200,3360,420,420,RMSE,0.7637443800749099,0.3684072047472,,,0.3920680433511734,,,0.7649195009151284,0.7637443800749099
GraphSAGE,Lipophilicity,37,regression,1,4200,3360,420,420,RMSE,0.7652333873452263,0.3683985024690628,,,0.39626990258693695,,,0.7566482803516764,0.7652333873452263
